college_name,college_link,duration,fees,rank,placement,c_type,program
"Birla Institute of Technology and Science - BITS, Pilani",https://www.collegesearch.in/university/bits-pilani-birla-institute-of-technology-science-pilani,4 Years,"Rs 19,12,900/-",,,Deemed,B.E (Hons)
"Vellore Institute of Technology - VIT University, Vellore",https://www.collegesearch.in/university/vellore-institute-of-technology-vit-vellore,4 Years,"Rs 7,83,000/-",,,Deemed,Bachelor of Technology (B.Tech)
"Delhi Technological University (DTU), Delhi",https://www.collegesearch.in/university/delhi-technological-university-dtu-delhi,4 Years,"Rs 9,31,400/-",,"Average -Rs.
                                25 L.P.A/-Highest -Rs.
                                39 L.P.A/-",State University,Bachelor of Technology (B.Tech)
"JNTUH College of Engineering (JNTUH CE), Hyderabad",https://www.collegesearch.in/colleges/jntuh-college-of-engineering-hyderabad-jntuh-ce-hyderabad,4 Years,"Rs 45,940/-",,,Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT) - Surathkal, Mangalore",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-surathkal-mangalore,4 Years,"Rs 5,46,454/-",,"Average -Rs.
                                13.8 L.P.A/-Highest -Rs.
                                31 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Manipal University - Manipal Academy of Higher Education, Manipal",https://www.collegesearch.in/university/manipal-university-manipal,4 Years,"Rs 15,40,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                16 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"College of Engineering (COEP), Pune",https://www.collegesearch.in/colleges/college-of-engineering-coep-pune,4 Years,"Rs 3,62,400/-",,"Average -Rs.
                                3.00 L.P.A/-Highest -Rs.
                                29.5 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Birla Institute of Technology & Science, Goa, South goa",https://www.collegesearch.in/colleges/birla-institute-of-technology-science-bits-goa,4 Years,"Rs 16,32,500/-",,,,Bachelor of Engineering
"Manipal University - Manipal Academy of Higher Education, Manipal",https://www.collegesearch.in/university/manipal-university-manipal,4 Years,"Rs 15,40,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                16 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Agartala",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-agartala,4 Years,"Rs 5,46,000/-",,"Average -Rs.
                                9 L.P.A/-Highest -Rs.
                                36 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Veermata Jijabai Technological Institute (VJTI), Mumbai",https://www.collegesearch.in/colleges/veermata-jijabai-technological-institute-vjti-mumbai,4 Years,"Rs 3,03,804/-",,"Average -Rs.
                                3.50 L.P.A/-Highest -Rs.
                                20.0 L.P.A/-",,Bachelor of Technology (B.Tech)
"Manipal University, Jaipur",https://www.collegesearch.in/university/manipal-university-jaipur,4 Years,"Rs 12,61,000/-",,"Average -Rs.
                                4 L.P.A/-Highest -Rs.
                                27 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"Motilal Nehru National Institute of Technology (MNNIT), Allahabad",https://www.collegesearch.in/colleges/motilal-nehru-national-institute-of-technology-mnnit-allahabad,4 Years,"Rs 2,95,800/-",,"Average -Rs.
                                4.3 L.P.A/-Highest -Rs.
                                11 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"National institute of Technology (NIT), Warangal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-warangal,4 Years,"Rs 3,38,200/-",,"Average -Rs.
                                5.1 L.P.A/-Highest -Rs.
                                13.77 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"MS Ramaiah Institute of Technology (MSRIT), Bangalore",https://www.collegesearch.in/colleges/ms-ramaiah-institute-of-technology-msrit-bangalore,4 Years,"Rs 1,38,000/-",,"Average -Rs.
                                7.66 L.P.A/-Highest -Rs.
                                50 L.P.A/-",,Bachelor of Engineering
"Birla Institute of Technology - BIT Mesra, Ranchi",https://www.collegesearch.in/university/birla-institute-of-technology-mesra-bit-mesra-ranchi,4 Years,"Rs 11,75,000/-",,"Average -Rs.
                                6.83 L.P.A/-Highest -Rs.
                                26.97 L.P.A/-",Deemed,Bachelor of Engineering
"National Institute of Technology (NIT), Rourkela",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-rourkela,4 Years,"Rs 6,46,000/-",,"Average -Rs.
                                3.2 L.P.A/-Highest -Rs.
                                8.3 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NITP), Patna",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-patna,4 Years,"Rs 5,26,400/-",,"Average -Rs.
                                4.65 L.P.A/-Highest -Rs.
                                16.85 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Sardar Vallabhbhai National Institute of Technology, Surat",https://www.collegesearch.in/colleges/sardar-vallabhbhai-national-institute-of-technology-svnit-surat,4 Years,"Rs 1,68,000/-",,"Average -Rs.
                                7.97 L.P.A/-Highest -Rs.
                                25.50 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Govt Model Engineering College (MEC), Kochi",https://www.collegesearch.in/colleges/govt-model-engineering-college-mec-kochi,4 Years,"Rs 1,40,000/-",,"Average -Rs.
                                4.00 L.P.A/-",,Bachelor of Technology (B.Tech)
"Indian Institute of Technology - Ropar (IIT Ropar), Ropar",https://www.collegesearch.in/colleges/indian-institute-of-technology-ropar-iit-ropar,4 Years,"Rs 9,09,200/-",,"Average -Rs.
                                10.7 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Technology (IIT) Gandhinagar, Ahmedabad",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-gandhinagar-ahmedabad,4 Years,"Rs 8,71,000/-",,"Average -Rs.
                                7 L.P.A/-Highest -Rs.
                                12.55 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Vellore Institute of Technology (VIT), Chennai",https://www.collegesearch.in/colleges/vellore-institute-of-technology-vit-chennai,4 Years,"Rs 7,92,000/-",,"Average -Rs.
                                5.7 L.P.A/-Highest -Rs.
                                30 L.P.A/-",,Bachelor of Technology (B.Tech)
"National Institute of Technology, Jamshedpur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-jamshedpur,4 Years,"Rs 7,16,000/-",,"Average -Rs.
                                19.75 L.P.A/-Highest -Rs.
                                67 L.P.A/-",Autonomous,B.Tech(Hons.)
"Malaviya National Institute of Technology (MNIT), Jaipur",https://www.collegesearch.in/colleges/malaviya-national-institute-of-technology-mnit-jaipur,4 Years,"Rs 3,70,700/-",,"Average -Rs.
                                7.0 L.P.A/-Highest -Rs.
                                18.4 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology, Silchar",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-silchar,4 Years,"Rs 5,81,500/-",,"Average -Rs.
                                4.54 L.P.A/-Highest -Rs.
                                17 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Information Technology (IIIT), Allahabad",https://www.collegesearch.in/university/indian-institute-of-information-technology-iiit-allahabad,4 Years,"Rs 5,98,200/-",,"Average -Rs.
                                6.6 L.P.A/-Highest -Rs.
                                65 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
"Goa Engineering College, Ponda",https://www.collegesearch.in/colleges/goa-engineering-college-ponda,4 Years,,,,,Bachelor of Engineering
"Indian Institute of Technology (IIT), Patna",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-patna,4 Years,"Rs 8,56,150/-",,"Average -Rs.
                                11 L.P.A/-Highest -Rs.
                                39.2 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Information Technology Design and Manufacturing (IITDM), Jabalpur",https://www.collegesearch.in/university/indian-institute-of-information-technology-design-and-manufacturing-iitdm-jabalpur,4 Years,"Rs 3,07,000/-",,,Deemed,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT) - Mizoram, Aizwal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-mizoram-aizwal,4 Years,"Rs 2,84,000/-",,,Autonomous,Bachelor of Technology (B.Tech)
"PSG College of Technology (PSGCT), Coimbatore",https://www.collegesearch.in/colleges/psg-college-of-technology-psgct-coimbatore,4 Years,"Rs 2,90,000/-",,"Average -Rs.
                                3.5 L.P.A/-",,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Srinagar",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-srinagar,4 Years,"Rs 3,10,000/-",,,Autonomous,Bachelor of Technology (B.Tech)
"Shri GS Institute of Technology & Science, Indore",https://www.collegesearch.in/colleges/shri-gs-institute-of-technology-science-sgsits-indore,4 Years,"Rs 2,04,350/-",,,,Bachelor of Engineering
"College of Engineering, Thiruvananthapuram",https://www.collegesearch.in/colleges/college-of-engineering-thiruvananthapuram,4 Years,,,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                6.5 L.P.A/-",,Bachelor of Technology (B.Tech)
"Nirma University - [NU], Ahmedabad",https://www.collegesearch.in/university/nirma-university-ahmedabad,4 Years,"Rs 6,44,000/-",,"Average -Rs.
                                8.10 L.P.A/-Highest -Rs.
                                15 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"Indraprastha Institute of Information Technology (IIIT), Delhi",https://www.collegesearch.in/colleges/indraprastha-institute-of-information-technology-iiit-delhi,4 Years,"Rs 16,00,000/-",,"Average -Rs.
                                15.36 L.P.A/-Highest -Rs.
                                71 L.P.A/-",State University,Bachelor of Technology (B.Tech)
"Thapar Institute of Engineering and Technology, Patiala",https://www.collegesearch.in/university/thapar-university-patiala,4 Years,"Rs 12,87,000/-",,"Average -Rs.
                                5.45 L.P.A/-Highest -Rs.
                                18.60 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
"Vishwakarma Institute of Technology (VIT), Pune",https://www.collegesearch.in/colleges/vishwakarma-institute-of-technology-vit-pune,4 Years,"Rs 4,24,352/-",,"Average -Rs.
                                5.9 L.P.A/-Highest -Rs.
                                37.4 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"KJ Somaiya College of Engineering (KJSCE), Mumbai",https://www.collegesearch.in/colleges/kj-somaiya-college-of-engineering-kjsce-mumbai,4 Years,"Rs 11,44,000/-",,"Average -Rs.
                                3.6 L.P.A/-Highest -Rs.
                                13 L.P.A/-",,Bachelor of Technology (B.Tech)
"College of Engineering (Anna University) - Guindy (CEG), Chennai",https://www.collegesearch.in/colleges/college-of-engineering-anna-university-guindy-ceg-chennai,4 Years,"Rs 1,16,880/-",,"Average -Rs.
                                8 L.P.A/-Highest -Rs.
                                15 L.P.A/-",,Bachelor of Engineering
"Dr BR Ambedkar National Institute of Technology (NIT), Jalandhar",https://www.collegesearch.in/colleges/dr-br-ambedkar-national-institute-of-technology-nit-jalandhar,4 Years,"Rs 2,62,420/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                17 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"SV University College of Engineering (SVUCE), Tirupathi",https://www.collegesearch.in/colleges/sv-university-college-of-engineering-svuce-tirupathi,4 Years,"Rs 59,145/-",,,Autonomous,Bachelor of Technology (B.Tech)
"Jorhat Engineering College, Jorhat",https://www.collegesearch.in/colleges/jorhat-engineering-college,4 Years,"Rs 44,000/-",,,,Bachelor of Engineering
"National Institute of Technology, Shillong",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-meghalaya-shillong,4 Years,"Rs 7,64,250/-",,"Average -Rs.
                                4.9 L.P.A/-Highest -Rs.
                                11.4 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Information Technology & Management - IIITM, Gwalior",https://www.collegesearch.in/colleges/indian-institute-of-information-technology-management-iitm-gwalior,5 Years,"Rs 2,74,200/-",,,Autonomous,Integrated B.Tech + M.Tech
"Pondicherry Engineering College, Pondicherry",https://www.collegesearch.in/colleges/pondicherry-engineering-college,4 Years,,,,,Bachelor of Technology (B.Tech)
"Birsa Institute of Technology (BIT - Sindri), Ranchi",https://www.collegesearch.in/colleges/birsa-institute-of-technology-bit-sindri-ranchi,4 Years,,,,Autonomous,Bachelor of Technology (B.Tech)
"Netaji Subhas University of Technology - NSUT, Delhi",https://www.collegesearch.in/colleges/netaji-subhas-institute-of-technology-nsit-delhi,4 Years,"Rs 8,44,000/-",,"Average -Rs.
                                15.5 L.P.A/-Highest -Rs.
                                27 L.P.A/-",,Bachelor of Engineering
"Graphic Era University, Dehradun",https://www.collegesearch.in/university/graphic-era-university-dehradun,4 Years,"Rs 9,67,227/-",,"Average -Rs.
                                7 L.P.A/-Highest -Rs.
                                12 L.P.A/-",,Bachelor of Technology (B.Tech)
"ICFAI Tech School (ICFAI Hyderabad), Hyderabad",https://www.collegesearch.in/colleges/icfai-tech-school-hyderabad,4 Years,"Rs 8,05,000/-",,,Deemed,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Kurukshetra",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-kurukshetra,4 Years,"Rs 5,90,800/-",,"Average -Rs.
                                4 L.P.A/-Highest -Rs.
                                15 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Hamirpur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-hamirpur,4 Years,"Rs 3,68,550/-",,"Average -Rs.
                                5.38 L.P.A/-Highest -Rs.
                                27 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Hindustan Institute of Technology and Science, Chennai",https://www.collegesearch.in/university/hindustan-university-chennai,4 Years,"Rs 4,40,000/-",,"Average -Rs.
                                4.8 L.P.A/-Highest -Rs.
                                15 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"University College of Engineering (UCE), Hyderabad",https://www.collegesearch.in/colleges/university-college-of-engineering-uce-hyderabad,4 Years,"Rs 2,50,000/-",,,,Bachelor of Engineering
"PEC University of Technology, Chandigarh",https://www.collegesearch.in/university/pec-university-of-technology-chandigarh,4 Years,"Rs 4,96,000/-",,"Average -Rs.
                                6 L.P.A/-Highest -Rs.
                                16 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
"KL University (KLU), Guntur",https://www.collegesearch.in/university/k-l-university-klu-guntur,4 Years,"Rs 9,15,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                28 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
"JNTUA College of Engineering - Anantapura, Ananthapur",https://www.collegesearch.in/colleges/jntua-college-of-engineering-anantapura,4 Years,"Rs 55,400/-",,,,Bachelor of Technology (B.Tech)
"Government College of Engineering & Ceramic Technology, Kolkata",https://www.collegesearch.in/colleges/government-college-of-engineering-ceramic-technology-kolkata,4 Years,"Rs 48,000/-",,,,Bachelor of Technology (B.Tech)
"Indian Institute of Technology (IIT), Mandi",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-mandi,4 Years,"Rs 9,83,750/-",,"Average -Rs.
                                13.14 L.P.A/-Highest -Rs.
                                26.4 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Shri Govindram Seksaria Institute of Technology, Indore",https://www.collegesearch.in/colleges/shri-govindram-seksaria-institute-of-technology-indore,4 Years,,,,,Bachelor of Engineering
"Visvesvaraya National Institute of Technology (VNIT), Nagpur",https://www.collegesearch.in/colleges/visvesvaraya-national-institute-of-technology-vnit-nagpur,4 Years,"Rs 1,66,140/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                12 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Institute of Engineering & Technology (IET), Lucknow",https://www.collegesearch.in/colleges/institute-of-engineering-technology-iet-lucknow,4 Years,"Rs 2,50,300/-",,"Average -Rs.
                                5 L.P.A/-",,Bachelor of Technology (B.Tech)
"Christ University (CU), Bangalore",https://www.collegesearch.in/university/christ-university-cu-bangalore,4 Years,"Rs 7,90,000/-",,"Average -Rs.
                                6.5 L.P.A/-Highest -Rs.
                                14 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
"Government College of Engineering, Amravati",https://www.collegesearch.in/colleges/government-college-of-engineering-amravati,4 Years,"Rs 60,000/-",,,,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Raipur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-raipur,4 Years,"Rs 2,40,000/-",,,Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Delhi",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-delhi,4 Years,"Rs 6,61,200/-",,"Average -Rs.
                                4.0 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Delhi",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-delhi,4 Years,"Rs 6,61,200/-",,"Average -Rs.
                                4.0 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Institute of Engineering & Technology (IET), Lucknow",https://www.collegesearch.in/colleges/institute-of-engineering-technology-iet-lucknow,4 Years,"Rs 2,50,300/-",,"Average -Rs.
                                5 L.P.A/-",,Bachelor of Technology (B.Tech)
"Faculty of Engineering & Technology - Jamia Millia Islamia, Delhi",https://www.collegesearch.in/colleges/faculty-of-engineering-technology-jamia-millia-islamia-delhi,4 Years,"Rs 85,780/-",,,,Bachelor of Technology (B.Tech)
"Laxminarayan Institute of Technology (LIT), Nagpur",https://www.collegesearch.in/colleges/laxminarayan-institute-of-technology-lit-nagpur,4 Years,,,,,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT) - Uttarakhand, Srinagar Garhwal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-uttarakhand-srinagar-garhwal,4 Years,"Rs 2,57,301/-",,,Autonomous,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT) - Puducherry, Karaikal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-puducherry-karaikal,4 Years,"Rs 2,01,464/-",,,Autonomous,Bachelor of Technology (B.Tech)
"Government College of Engineering, Kannur",https://www.collegesearch.in/colleges/government-college-of-engineering-kannur,4 Years,"Rs 16,600/-",,"Average -Rs.
                                3.0 L.P.A/-",,Bachelor of Technology (B.Tech)
"University BDT College of Engineering, Davangere",https://www.collegesearch.in/colleges/university-bdt-college-of-engineering-davangere,4 Years,,,,,Bachelor of Technology (B.Tech)
National Institute of Technology (NIT) - Goa,https://www.collegesearch.in/colleges/national-institute-of-technology-nit-goa,4 Years,"Rs 3,45,300/-",,,Autonomous,Bachelor of Technology (B.Tech)
"Indian Institute of Space Science and Technology, Thiruvananthapuram",https://www.collegesearch.in/university/indian-institute-of-space-science-and-technology-thiruvananthapuram,4 Years,"Rs 3,87,200/-",,,Deemed,Bachelor of Technology (B.Tech)
"National Institute of Technology (NIT), Durgapur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-durgapur,4 Years,"Rs 2,66,400/-",,"Average -Rs.
                                4 L.P.A/-Highest -Rs.
                                13 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"College of Technology - Pantnagar, Nainital",https://www.collegesearch.in/colleges/college-of-technology-pantnagar,4 Years,,,,,Bachelor of Technology (B.Tech)
"Government Engineering College (GECT), Thrissur",https://www.collegesearch.in/colleges/government-engineering-college-gect-thrissur,4 Years,"Rs 16,000/-",,,,Bachelor of Technology (B.Tech)
"Maulana Azad National Institute of Technology (MANIT), Bhopal",https://www.collegesearch.in/colleges/maulana-azad-national-institute-of-technology-manit-bhopal,4 Years,"Rs 2,33,052/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                24 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Thiagarajar College of Engineering, Madurai",https://www.collegesearch.in/colleges/thiagarajar-college-of-engineering-madurai,4 Years,"Rs 2,66,600/-",,"Average -Rs.
                                3.00 L.P.A/-",,Bachelor of Engineering
"SSN College of Engineering (SSNCE), Chennai",https://www.collegesearch.in/colleges/ssn-college-of-engineering-ssnce,4 Years,"Rs 1,80,000/-",,,,Bachelor of Engineering
"RV College of Engineering, Bangalore",https://www.collegesearch.in/colleges/rv-college-of-engineering-rvce-bangalore,4 Years,"Rs 1,32,000/-",,"Average -Rs.
                                4.5 L.P.A/-Highest -Rs.
                                11 L.P.A/-",,Bachelor of Engineering
"Government College of Technology (GCT), Coimbatore",https://www.collegesearch.in/colleges/government-college-of-technology-gct-coimbatore,4 Years,"Rs 36,720/-",,,Autonomous,Bachelor of Engineering
"University of Petroleum and Energy Studies (UPES), Dehradun",https://www.collegesearch.in/university/university-of-petroleum-and-energy-studies-upes-dehradun,4 Years,"Rs 15,72,000/-",,"Average -Rs.
                                5.3 L.P.A/-Highest -Rs.
                                17 L.P.A/-",,Bachelor of Technology (B.Tech)
"Harcourt Butler Technological University (HBTU), Kanpur",https://www.collegesearch.in/university/harcourt-butler-technological-university-hbtu-kanpur,4 Years,"Rs 3,77,200/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                9 L.P.A/-",,Bachelor of Technology (B.Tech)
"Maulana Azad National Institute of Technology (MANIT), Bhopal",https://www.collegesearch.in/colleges/maulana-azad-national-institute-of-technology-manit-bhopal,4 Years,"Rs 2,33,052/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                24 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"University of Petroleum and Energy Studies (UPES), Dehradun",https://www.collegesearch.in/university/university-of-petroleum-and-energy-studies-upes-dehradun,4 Years,"Rs 15,72,000/-",,"Average -Rs.
                                5.3 L.P.A/-Highest -Rs.
                                17 L.P.A/-",,Bachelor of Technology (B.Tech)
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA University), Thanjavur",https://www.collegesearch.in/university/shanmugha-arts-science-technology-research-academy-sastra-university,4 Years,"Rs 5,80,314/-",,"Average -Rs.
                                4.5 L.P.A/-Highest -Rs.
                                15 L.P.A/-",Deemed,Bachelor of Technology (B.Tech)
Mar Athanasius College of Engineering,https://www.collegesearch.in/colleges/mar-athanasius-college-of-engineering,4 Years,"Rs 51,925/-",,"Average -Rs.
                                4.0 L.P.A/-",,Bachelor of Technology (B.Tech)
"Indian Institute of Technology (IIT), Indore",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-indore,4 Years,"Rs 8,34,800/-",,"Average -Rs.
                                16 L.P.A/-Highest -Rs.
                                36.48 L.P.A/-",Autonomous,Bachelor of Technology (B.Tech)
"Dr Mahalingam College of Engineering & Technology, Coimbatore",https://www.collegesearch.in/colleges/dr-mahalingam-college-of-engineering-technology-coimbatore,4 Years,,,"Average -Rs.
                                2.4 L.P.A/-Highest -Rs.
                                2.7 L.P.A/-",,Bachelor of Engineering
"Sree Chitra Thirunal College of Engineering, Thiruvananthapuram",https://www.collegesearch.in/colleges/sree-chitra-thirunal-college-of-engineering-thiruvananthapuram,4 Years,"Rs 3,60,000/-",,,,Bachelor of Technology (B.Tech)
"Amity University, Noida",https://www.collegesearch.in/university/amity-university-noida,4 Years,"Rs 4,50,600/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                18 L.P.A/-",State Private University,Bachelor of Technology (B.Tech)
"Kalyani Government Engineering College (KGEC), Kolkata",https://www.collegesearch.in/colleges/kalyani-government-engineering-college-kgec,4 Years,"Rs 40,620/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                4.5 L.P.A/-",,Bachelor of Technology (B.Tech)
"Madras Institute of Technology (MIT), Chennai",https://www.collegesearch.in/colleges/madras-institute-of-technology-mit-chennai,4 Years,"Rs 2,08,640/-",,,,Bachelor of Engineering
"Birla Institute of Technology & Science (BITS), Hyderabad",https://www.collegesearch.in/colleges/birla-institute-of-technology-science-bits-hyderabad,4 Years,"Rs 24,68,900/-",,,Autonomous,B.E (Hons)
"Dayananda Sagar College of Engineering (DSCE), Bangalore",https://www.collegesearch.in/colleges/dayananda-sagar-college-of-engineering-dsce-bangalore,4 Years,"Rs 2,54,556/-",,,,Bachelor of Engineering
