program,course_languageEn,duration,university_name,ielts,toefl,gpa,fees,college_link
integrated bba+ mba,not specified,5 years,"greater noida institute of technology (gniot), greater noida",5.925531104850377,80.61120840630473,0.0,4036.14,https://www.collegesearch.in/colleges/greater-noida-institute-of-technology-greater-noida
master of technology (m.tech),not specified,2 years,"greater noida institute of technology (gniot), greater noida",5.925531104850377,80.61120840630473,0.0,1626.51,https://www.collegesearch.in/colleges/greater-noida-institute-of-technology-greater-noida
integrated bba+ mba,not specified,5 years,"greater noida institute of technology mba institute, greater noida",5.925531104850377,80.61120840630473,0.0,3792.77,https://www.collegesearch.in/colleges/greater-noida-institute-of-technology-mba-institute-greater-noida
master of business administration(mba),not specified,2 years,"greater noida institute of technology mba institute, greater noida",5.925531104850377,80.61120840630473,0.0,2884.34,https://www.collegesearch.in/colleges/greater-noida-institute-of-technology-mba-institute-greater-noida
bachelor of technology (b.tech),not specified,4 years,"green hills engineering college, solan",5.925531104850377,80.61120840630473,0.0,5686.75,https://www.collegesearch.in/colleges/green-hills-engineering-college-solan
master of technology (m.tech),not specified,2 years,"green hills engineering college, solan",5.925531104850377,80.61120840630473,0.0,2951.81,https://www.collegesearch.in/colleges/green-hills-engineering-college-solan
bachelor of engineering,not specified,4 years,"greentech college of engineering for women, salem",5.925531104850377,80.61120840630473,0.0,1927.71,https://www.collegesearch.in/colleges/greentech-college-of-engineering-for-women-salem
bachelor of engineering,not specified,4 years,"grt institute of engineering and technology, chennai",5.925531104850377,80.61120840630473,0.0,1927.71,https://www.collegesearch.in/colleges/grt-institute-of-engineering-and-technology-chennai
master of business administration(mba),not specified,2 years,"grt institute of engineering and technology, chennai",5.925531104850377,80.61120840630473,0.0,722.89,https://www.collegesearch.in/colleges/grt-institute-of-engineering-and-technology-chennai
master of engineering,not specified,2 years,"grt institute of engineering and technology, chennai",5.925531104850377,80.61120840630473,0.0,1204.82,https://www.collegesearch.in/colleges/grt-institute-of-engineering-and-technology-chennai
master of business administration(mba),not specified,2 years,"grv business management academy, bangalore",5.925531104850377,80.61120840630473,0.0,4216.87,https://www.collegesearch.in/colleges/grv-business-management-academy-bangalore
